Topic,Problem,Key Technique,Optimal Complexity,Quick Revision Notes
Arrays I,Set Matrix Zeroes,Use first row/col as markers,"O(m*n), O(1)","Mark using first row and col. Two passes: mark then fill. Handle first row/col separately."
Arrays I,Pascal's Triangle,Pattern recognition,"O(n^2), O(n^2)","Row r has r+1 elements. Each element = nCr. Use prev element * (row-col) / (col+1)."
Arrays I,Next Permutation,Find break point + swap + reverse,"O(n), O(1)","Find rightmost a[i] < a[i+1] (break point). Swap with next larger from right. Reverse suffix."
Arrays I,Kadane's Algorithm,Running sum with reset,"O(n), O(1)","Track maxSum and currentSum. If currentSum < 0 reset to 0. Classic DP pattern."
Arrays I,Sort Colors (DNF),Dutch National Flag 3-pointer,"O(n), O(1)","Three pointers: low mid high. 0→swap(low mid) advance both; 2→swap(mid high) decrement high; 1→advance mid."
Arrays I,Best Time to Buy/Sell Stock,Track minimum price,"O(n), O(1)","Maintain minPrice so far. Profit = price - minPrice. Track max profit."
Arrays II,Rotate Image,Transpose + Reverse rows,"O(n^2), O(1)","Step 1: Transpose matrix (swap [i][j] with [j][i]). Step 2: Reverse each row."
Arrays II,Merge Intervals,Sort + merge overlapping,"O(n log n), O(n)","Sort by start. If current.start <= last.end → merge (extend end). Else add new interval."
Arrays II,Merge Sorted Arrays,Gap method (Shell sort),"O(n log n), O(1)","Gap = ceil((m+n)/2). Compare elements gap-apart and swap if needed. Halve gap each pass."
Arrays II,Find Duplicate,Floyd's Cycle Detection,"O(n), O(1)","Treat array as linked list (val = next). Slow+fast pointers find cycle. Phase 2 finds duplicate."
Arrays II,Repeat and Missing,Math/XOR equations,"O(n), O(1)","Sum and SumSq equations: x-y = diffSum, x^2-y^2 = diffSqSum. Or use XOR approach."
Arrays II,Count Inversions,Merge Sort counting,"O(n log n), O(n)","During merge sort, when right element < left element, inversions += remaining left elements."
Arrays III,Search in 2D Matrix,Binary search on flattened,"O(log(m*n)), O(1)","Treat 2D as 1D. row = mid/cols, col = mid%cols. Or staircase from top-right."
Arrays III,Pow(x n),Binary exponentiation,"O(log n), O(1)","If n odd: result *= x. Always: x *= x, n /= 2. Handle negative n."
Arrays III,Majority Element (N/2),Boyer-Moore Voting,"O(n), O(1)","Count for candidate. If 0 switch candidate. Verify in second pass."
Arrays III,Majority Element (N/3),Extended Boyer-Moore,"O(n), O(1)","At most 2 candidates. Track two candidates with counts. Verify both."
Arrays III,Grid Unique Paths,DP or Combinatorics,"O(m*n) or O(min(m,n)), O(1)","dp[i][j] = dp[i-1][j] + dp[i][j-1]. Or answer = C(m+n-2, m-1)."
Arrays III,Reverse Pairs,Merge Sort counting,"O(n log n), O(n)","Like Count Inversions but condition is nums[i] > 2*nums[j]. Count before merging."
Hashing,2Sum,HashMap stores complement,"O(n), O(n)","For each num check if target-num exists in map. Single pass."
Hashing,4Sum,Sort + fix 2 + two pointers,"O(n^3), O(1)","Fix two elements use two pointers for remaining. Skip duplicates at all levels."
Hashing,Longest Consecutive Sequence,HashSet + find starts,"O(n), O(n)","Add all to HashSet. For each start (no num-1 in set) count consecutive sequence."
Hashing,Largest Subarray with 0 Sum,Prefix sum + HashMap,"O(n), O(n)","prefixSum → first index. If same prefix seen again subarray between has sum 0."
Hashing,Count Subarrays with XOR K,Prefix XOR + HashMap,"O(n), O(n)","If prefixXor ^ K exists in map add its count. Like subarray sum equals K but with XOR."
Hashing,Longest Substring No Repeat,Sliding window + set/map,"O(n), O(min(n,26))","HashMap stores last seen index. If repeated shrink window. Track max length."
LinkedList I,Reverse Linked List,Three pointers (prev curr next),"O(n), O(1)","Iterative: reverse each link. Recursive: reverse rest then fix link."
LinkedList I,Middle of Linked List,Slow-fast pointers,"O(n), O(1)","Slow=1step fast=2steps. When fast hits end slow is at middle."
LinkedList I,Merge Two Sorted Lists,Dummy node + compare,"O(m+n), O(1)","Dummy head. Compare current nodes attach smaller. Attach remaining."
LinkedList I,Remove Nth From End,Two pointer gap,O(L) O(1),"Fast moves n+1 ahead. Both move until fast=null. Slow.next = slow.next.next."
LinkedList I,Delete Given Node,Copy next node trick,"O(1), O(1)","Copy next node's value into current. Skip next node. Only works if not tail."
LinkedList I,Add Two Numbers,Iterate + carry,"O(max(m,n)), O(max(m,n))","Process digits with carry. Continue while any list has nodes OR carry > 0."
LinkedList II,Intersection of Two Lists,Equal distance two pointers,"O(m+n), O(1)","A goes A→B B goes B→A. Both travel m+n. Meet at intersection or both null."
LinkedList II,Detect Cycle,Floyd's Cycle Detection,"O(n), O(1)","Slow=1step fast=2steps. If they meet → cycle. Fast hits null → no cycle."
LinkedList II,Reverse K-Group,Count k + reverse group,"O(n), O(1)","Count k nodes. If enough reverse them. Track prevGroupEnd and connect."
LinkedList II,Palindrome Linked List,Reverse second half,"O(n), O(1)","Find middle → reverse second half → compare both halves → optionally restore."
LinkedList II,Linked List Cycle II,Floyd's Phase 2,"O(n), O(1)","Phase 1: detect meeting point. Phase 2: reset slow to head both move 1 step. Meet at cycle start."
LinkedList II,Flatten Linked List,Merge sorted lists,"O(n*m), O(1)","Merge from right to left using bottom pointers. Like repeated merge-two-sorted."
Two Pointers,Rotate List,Circular + break,"O(n), O(1)","k %= length. Make circular (tail→head). Walk len-k-1 steps. Break at new tail."
Two Pointers,Clone with Random,Interleave nodes,"O(n), O(1)","Interleave clones. Set random pointers. Separate lists. Or use HashMap O(n) space."
Two Pointers,3Sum,Sort + fix one + two ptrs,"O(n^2), O(1)","Sort. Fix one element. Two pointers for other two. Skip duplicates."
Two Pointers,Trapping Rain Water,Two pointer boundaries,"O(n), O(1)","Water at i = min(leftMax rightMax) - height[i]. Move side with smaller height."
Two Pointers,Remove Duplicates,Slow writer + fast scanner,"O(n), O(1)","Slow tracks write position. Fast scans. Copy when nums[fast] != nums[slow]."
Two Pointers,Max Consecutive Ones,Simple counter,"O(n), O(1)","Increment on 1 reset on 0. Track max count."
Greedy,N Meetings / Activity Selection,Sort by end time,"O(n log n), O(n)","Sort by finish time. Greedily pick earliest finishing non-overlapping."
Greedy,Minimum Platforms,Sort + two pointers,"O(n log n), O(1)","Sort arrivals and departures separately. Event simulation with two pointers."
Greedy,Job Sequencing,Sort by profit desc,"O(n^2), O(maxDeadline)","Sort by profit desc. Assign to latest available slot before deadline."
Greedy,Fractional Knapsack,Sort by value/weight ratio,"O(n log n), O(1)","Take items with best ratio first. Take fraction of last item if needed."
Greedy,Minimum Coins,Largest denomination first,"O(amount), O(1)","Use largest coins first. Works for standard denominations only. DP for arbitrary."
Greedy,Activity Selection,Sort by end time (same as N Meetings),"O(n log n), O(n)","Identical to N Meetings. Greedy proof via exchange argument."
Recursion,Subset Sums,Pick / Not Pick,"O(2^n), O(2^n)","At each index include or exclude. Base: add current sum at end."
Recursion,Subsets II,Sort + skip duplicates,"O(2^n * n), O(2^n)","Sort. Skip if i > start && nums[i] == nums[i-1]. Avoids duplicate subsets."
Recursion,Combination Sum,Backtrack with reuse,"O(2^target), O(target)","Pass i (not i+1) to allow reuse. Prune when remaining < 0."
Recursion,Combination Sum II,Sort + skip + no reuse,"O(2^n), O(n)","Pass i+1 (no reuse). Skip duplicates. Prune when candidate > remaining."
Recursion,Palindrome Partitioning,Backtracking with palindrome check,"O(n * 2^n), O(n)","Try each prefix. If palindrome recurse on rest. Base: start == length."
Recursion,Kth Permutation,Factorial number system,"O(n^2), O(n)","k-1 (0-indexed). Digit index = k / (n-1)!. Remove used digit. Update k."
Backtracking,Permutations,Swap-based or visited array,"O(n! * n), O(n)","Swap approach: swap nums[start] with each nums[i]. Recurse on start+1."
Backtracking,N-Queens,Backtracking + HashSet validation,"O(n!), O(n^2)","Place row by row. Check col diagonal (row-col) anti-diagonal (row+col) conflicts."
Backtracking,Sudoku Solver,Try digits 1-9 + validate,"O(9^empty), O(81)","Find empty cell. Try 1-9. Validate row col box. Recurse. Backtrack."
Backtracking,M-Coloring,Try colors 1-m for each node,"O(m^n), O(n)","For each node try each color. Check no adjacent same color. Backtrack."
Backtracking,Rat in a Maze,DFS 4 directions + visited,"O(4^(n*n)), O(n*n)","Move D L R U (lexicographic). Mark visited. Base: reached (n-1 n-1)."
Backtracking,Word Break,DP (can also backtrack),"O(n^2 * m), O(n)","dp[i] = can s[0..i-1] be segmented. Check all splits where dp[j] && s[j..i] in dict."
Binary Search,Nth Root,Binary search on answer,"O(n * log m), O(1)","Search [1 m]. Compute mid^n with overflow protection. Classic BS on answer."
Binary Search,Matrix Median,Binary search on value,"O(r * log(c) * log(max-min)), O(1)","BS on value range. Count elements ≤ mid using upper_bound per row."
